timestamp,session,Adj Close,Close,High,Low,Open,Volume,event_before,exact_event,event_after
2022-12-28 00:00:00-05:00,London 0-7 ET,112.421875,112.421875,112.421875,112.375,112.390625,4144.0,"2-Year Note Auction, 52-Week Bill Auction",,Redbook YoY DEC/24
2022-12-28 01:00:00-05:00,London 0-7 ET,112.390625,112.390625,112.421875,112.359375,112.421875,7941.0,"2-Year Note Auction, 52-Week Bill Auction",,Redbook YoY DEC/24
2022-12-28 02:00:00-05:00,London 0-7 ET,112.515625,112.515625,112.53125,112.390625,112.40625,24270.0,"2-Year Note Auction, 52-Week Bill Auction",,Redbook YoY DEC/24
2022-12-28 03:00:00-05:00,London 0-7 ET,112.515625,112.515625,112.5625,112.4375,112.5,36478.0,"2-Year Note Auction, 52-Week Bill Auction",,Redbook YoY DEC/24
2022-12-28 04:00:00-05:00,London 0-7 ET,112.5,112.5,112.53125,112.484375,112.515625,13914.0,"2-Year Note Auction, 52-Week Bill Auction",,Redbook YoY DEC/24
2022-12-28 05:00:00-05:00,London 0-7 ET,112.546875,112.546875,112.546875,112.484375,112.515625,11491.0,"2-Year Note Auction, 52-Week Bill Auction",,Redbook YoY DEC/24
2022-12-28 06:00:00-05:00,London 0-7 ET,112.546875,112.546875,112.5625,112.5,112.5625,14856.0,"2-Year Note Auction, 52-Week Bill Auction",,Redbook YoY DEC/24
2022-12-28 07:00:00-05:00,US Open 7-10 ET,112.671875,112.671875,112.6875,112.53125,112.53125,28278.0,"2-Year Note Auction, 52-Week Bill Auction",,Redbook YoY DEC/24
2022-12-28 08:00:00-05:00,US Open 7-10 ET,112.484375,112.484375,112.671875,112.46875,112.65625,58190.0,"2-Year Note Auction, 52-Week Bill Auction",,Redbook YoY DEC/24
2022-12-28 09:00:00-05:00,US Open 7-10 ET,112.484375,112.484375,112.578125,112.40625,112.484375,53990.0,Redbook YoY DEC/24,,"Pending Home Sales MoM NOV, Pending Home Sales YoY NOV, Richmond Fed Manufacturing Index DEC, Richmond Fed Manufacturing Shipments Index DEC, Richmond Fed Services Index DEC"
2022-12-28 10:00:00-05:00,US Mid 10-15 ET,112.21875,112.21875,112.46875,112.203125,112.46875,96353.0,"Pending Home Sales MoM NOV, Pending Home Sales YoY NOV, Richmond Fed Manufacturing Index DEC, Richmond Fed Manufacturing Shipments Index DEC, Richmond Fed Services Index DEC",,"Dallas Fed Services Index DEC, Dallas Fed Services Revenues Index DEC"
2022-12-28 11:00:00-05:00,US Mid 10-15 ET,112.3125,112.3125,112.3125,112.171875,112.21875,75813.0,"Dallas Fed Services Index DEC, Dallas Fed Services Revenues Index DEC",,"17-Week Bill Auction, 2-Year FRN Auction"
2022-12-28 12:00:00-05:00,US Mid 10-15 ET,112.25,112.25,112.34375,112.234375,112.3125,55275.0,"17-Week Bill Auction, 2-Year FRN Auction",,5-Year Note Auction
2022-12-28 13:00:00-05:00,US Mid 10-15 ET,112.25,112.25,112.328125,112.21875,112.25,43449.0,5-Year Note Auction,,API Crude Oil Stock Change DEC/23
2022-12-28 14:00:00-05:00,US Mid 10-15 ET,112.171875,112.171875,112.234375,112.15625,112.234375,79440.0,5-Year Note Auction,,API Crude Oil Stock Change DEC/23
2022-12-28 15:00:00-05:00,US Close 15-17 ET,112.15625,112.15625,112.21875,112.125,112.1875,47292.0,5-Year Note Auction,,API Crude Oil Stock Change DEC/23
2022-12-28 16:00:00-05:00,US Close 15-17 ET,112.1875,112.1875,112.25,112.15625,112.15625,22582.0,5-Year Note Auction,,API Crude Oil Stock Change DEC/23
2022-12-28 18:00:00-05:00,Asia 18-24 ET,112.265625,112.265625,112.265625,112.203125,112.21875,0.0,API Crude Oil Stock Change DEC/23,,"Initial Jobless Claims DEC/24, Continuing Jobless Claims DEC/17, Jobless Claims 4-week Average DEC/24"
2022-12-28 19:00:00-05:00,Asia 18-24 ET,112.3125,112.3125,112.3125,112.265625,112.265625,10121.0,API Crude Oil Stock Change DEC/23,,"Initial Jobless Claims DEC/24, Continuing Jobless Claims DEC/17, Jobless Claims 4-week Average DEC/24"
2022-12-28 20:00:00-05:00,Asia 18-24 ET,112.34375,112.34375,112.359375,112.296875,112.296875,5827.0,API Crude Oil Stock Change DEC/23,,"Initial Jobless Claims DEC/24, Continuing Jobless Claims DEC/17, Jobless Claims 4-week Average DEC/24"
2022-12-28 21:00:00-05:00,Asia 18-24 ET,112.390625,112.390625,112.40625,112.328125,112.34375,8762.0,API Crude Oil Stock Change DEC/23,,"Initial Jobless Claims DEC/24, Continuing Jobless Claims DEC/17, Jobless Claims 4-week Average DEC/24"
2022-12-28 22:00:00-05:00,Asia 18-24 ET,112.359375,112.359375,112.390625,112.34375,112.375,6195.0,API Crude Oil Stock Change DEC/23,,"Initial Jobless Claims DEC/24, Continuing Jobless Claims DEC/17, Jobless Claims 4-week Average DEC/24"
2022-12-28 23:00:00-05:00,Asia 18-24 ET,112.390625,112.390625,112.40625,112.359375,112.359375,5623.0,API Crude Oil Stock Change DEC/23,,"Initial Jobless Claims DEC/24, Continuing Jobless Claims DEC/17, Jobless Claims 4-week Average DEC/24"
2022-12-29 00:00:00-05:00,London 0-7 ET,112.359375,112.359375,112.390625,112.328125,112.390625,7567.0,API Crude Oil Stock Change DEC/23,,"Initial Jobless Claims DEC/24, Continuing Jobless Claims DEC/17, Jobless Claims 4-week Average DEC/24"
2022-12-29 01:00:00-05:00,London 0-7 ET,112.390625,112.390625,112.390625,112.328125,112.359375,5850.0,API Crude Oil Stock Change DEC/23,,"Initial Jobless Claims DEC/24, Continuing Jobless Claims DEC/17, Jobless Claims 4-week Average DEC/24"
2022-12-29 02:00:00-05:00,London 0-7 ET,112.453125,112.453125,112.46875,112.375,112.375,17880.0,API Crude Oil Stock Change DEC/23,,"Initial Jobless Claims DEC/24, Continuing Jobless Claims DEC/17, Jobless Claims 4-week Average DEC/24"
2022-12-29 03:00:00-05:00,London 0-7 ET,112.453125,112.453125,112.5,112.390625,112.46875,22348.0,API Crude Oil Stock Change DEC/23,,"Initial Jobless Claims DEC/24, Continuing Jobless Claims DEC/17, Jobless Claims 4-week Average DEC/24"
2022-12-29 04:00:00-05:00,London 0-7 ET,112.359375,112.359375,112.46875,112.34375,112.453125,13149.0,API Crude Oil Stock Change DEC/23,,"Initial Jobless Claims DEC/24, Continuing Jobless Claims DEC/17, Jobless Claims 4-week Average DEC/24"
2022-12-29 05:00:00-05:00,London 0-7 ET,112.28125,112.28125,112.375,112.28125,112.359375,8212.0,API Crude Oil Stock Change DEC/23,,"Initial Jobless Claims DEC/24, Continuing Jobless Claims DEC/17, Jobless Claims 4-week Average DEC/24"
2022-12-29 06:00:00-05:00,London 0-7 ET,112.21875,112.21875,112.296875,112.203125,112.296875,14880.0,API Crude Oil Stock Change DEC/23,,"Initial Jobless Claims DEC/24, Continuing Jobless Claims DEC/17, Jobless Claims 4-week Average DEC/24"
2022-12-29 07:00:00-05:00,US Open 7-10 ET,112.234375,112.234375,112.28125,112.171875,112.21875,24898.0,API Crude Oil Stock Change DEC/23,,"Initial Jobless Claims DEC/24, Continuing Jobless Claims DEC/17, Jobless Claims 4-week Average DEC/24"
