Datetime,Adj Close,Close,High,Low,Open,Volume,US/Eastern Timezone
2018-01-18,160.58,160.58,160.7,160.3,160.62,613.31K,2018-01-18 18:59:59-05:00
2018-01-19,160.66,160.66,160.85,160.31,160.42,530.11K,2018-01-19 18:59:59-05:00
2018-01-22,160.74,160.74,160.82,160.38,160.55,432.97K,2018-01-22 18:59:59-05:00
2018-01-23,160.8,160.8,161.13,160.68,160.7,605.82K,2018-01-23 18:59:59-05:00
2018-01-24,160.4,160.4,160.85,160.32,160.85,675.76K,2018-01-24 18:59:59-05:00
2018-01-25,160.05,160.05,160.75,159.66,160.57,1.01M,2018-01-25 18:59:59-05:00
2018-01-26,159.79,159.79,160.36,159.74,160.15,751.02K,2018-01-26 18:59:59-05:00
2018-01-29,158.71,158.71,159.64,158.66,159.59,1.02M,2018-01-29 18:59:59-05:00
2018-01-30,158.91,158.91,159.18,158.73,158.74,840.36K,2018-01-30 18:59:59-05:00
2018-01-31,158.82,158.82,159.33,158.5,158.96,917.38K,2018-01-31 18:59:59-05:00
2018-02-01,158.6,158.6,158.81,158.15,158.55,1.08M,2018-02-01 18:59:59-05:00
2018-02-02,157.87,157.87,158.36,157.71,158.17,1.03M,2018-02-02 18:59:59-05:00
2018-02-05,158.09,158.09,159.3,157.62,157.67,871.67K,2018-02-05 18:59:59-05:00
2018-02-06,158.86,158.86,159.24,158.48,158.96,1.27M,2018-02-06 18:59:59-05:00
2018-02-07,158.23,158.23,158.92,157.92,158.68,928.91K,2018-02-07 18:59:59-05:00
2018-02-08,157.74,157.74,158.23,157.26,157.92,1.16M,2018-02-08 18:59:59-05:00
2018-02-09,158.04,158.04,158.65,157.7,158.05,920.81K,2018-02-09 18:59:59-05:00
2018-02-12,157.97,157.97,158.17,157.54,157.75,636.37K,2018-02-12 18:59:59-05:00
2018-02-13,158.11,158.11,158.44,157.95,158.03,664.40K,2018-02-13 18:59:59-05:00
2018-02-14,157.98,157.98,158.38,157.65,158.25,782.15K,2018-02-14 18:59:59-05:00
2018-02-15,157.88,157.88,158.01,157.42,157.65,720.05K,2018-02-15 18:59:59-05:00
2018-02-16,158.61,158.61,158.78,157.65,157.76,575.90K,2018-02-16 18:59:59-05:00
2018-02-19,158.27,158.27,158.53,158.17,158.49,338.58K,2018-02-19 18:59:59-05:00
2018-02-20,158.39,158.39,158.55,157.9,158.17,614.79K,2018-02-20 18:59:59-05:00
