Date,"Volatility of Returns (Session:Asia 18-24 ET, Interval:1m, Symbol:ZB)",ZScore wrt All Days,ZScore wrt Given Days
2025-05-11,4.0,-0.49373395485463967,-0.49373395485463967
2025-05-14,4.5,-0.41887382975515147,-0.41887382975515147
2025-05-18,12.0,0.7040280467371713,0.7040280467371713
2025-05-19,4.5,-0.41887382975515147,-0.41887382975515147
2025-05-20,10.0,0.40458754633921856,0.40458754633921856
2025-05-21,6.0,-0.19429345445668691,-0.19429345445668691
2025-05-22,4.5,-0.41887382975515147,-0.41887382975515147
2025-05-25,8.5,0.180007171040754,0.180007171040754
2025-05-26,6.5,-0.11943332935719873,-0.11943332935719873
2025-05-27,7.0,-0.044573204257710546,-0.044573204257710546
2025-05-28,6.5,-0.11943332935719873,-0.11943332935719873
